f,alpha,c,U_infinity,delta
10000,3.3,0.1016,71.3,0.00202822
630,3.3,0.1016,39.6,0.00245138
800,9.5,0.0254,71.3,0.00420654
6300,12.6,0.1524,71.3,0.0483159
315,0.0,0.2286,55.5,0.00229336
2000,0.0,0.1016,39.6,0.00146332
800,0.0,0.1524,39.6,0.00193287
1250,0.0,0.2286,71.3,0.00214345
6300,4.0,0.2286,71.3,0.00400603
1250,19.7,0.0508,71.3,0.0341183
3150,4.0,0.2286,31.7,0.00509068
1600,12.3,0.1016,71.3,0.0337792
400,12.7,0.0254,39.6,0.0130253
16000,2.7,0.1524,71.3,0.00243851
6300,15.4,0.0508,39.6,0.0282593
6300,5.4,0.1524,31.7,0.00525474
800,0.0,0.1524,71.3,0.0015988
800,2.7,0.1524,39.6,0.00294804
630,11.2,0.0508,71.3,0.014072
4000,0.0,0.0508,71.3,0.000740478
400,4.0,0.2286,31.7,0.00509068
1000,4.0,0.3048,39.6,0.00579636
1000,6.7,0.1016,55.5,0.0052139
250,12.3,0.1016,71.3,0.0337792
5000,4.8,0.0254,31.7,0.000930789
2500,0.0,0.0254,31.7,0.000439472
315,9.9,0.1524,31.7,0.0252785
2000,22.2,0.0254,39.6,0.0229028
2000,19.7,0.0508,39.6,0.036484
2500,2.0,0.2286,31.7,0.00372371
1250,12.6,0.1524,71.3,0.0483159
12500,0.0,0.3048,71.3,0.00266337
315,5.4,0.1524,31.7,0.00525474
6300,4.8,0.0254,55.5,0.000873218
250,17.4,0.0254,31.7,0.0176631
4000,12.7,0.0254,39.6,0.0130253
10000,3.0,0.3048,55.5,0.00452492
800,9.5,0.0254,55.5,0.0043284
4000,4.0,0.2286,39.6,0.00473801
630,0.0,0.2286,55.5,0.00229336
315,9.5,0.0254,31.7,0.00461377
2500,8.9,0.1016,39.6,0.0124596
1250,4.0,0.2286,55.5,0.0042862
200,9.9,0.1524,55.5,0.0208438
1000,0.0,0.1016,71.3,0.00121072
2000,5.3,0.2286,71.3,0.0051942
400,9.5,0.0254,31.7,0.00461377
250,22.2,0.0254,39.6,0.0229028
5000,3.3,0.1016,71.3,0.00202822
1600,3.0,0.3048,71.3,0.00425727
4000,12.3,0.1016,71.3,0.0337792
1250,1.5,0.3048,71.3,0.00336729
3150,22.2,0.0254,71.3,0.0214178
400,3.0,0.3048,55.5,0.00452492
5000,0.0,0.1524,71.3,0.0015988
12500,0.0,0.0254,39.6,0.000428464
2500,4.0,0.3048,71.3,0.00497773
5000,0.0,0.3048,31.7,0.00331266
250,4.0,0.3048,39.6,0.00579636
2500,2.7,0.1524,71.3,0.00243851
6300,0.0,0.3048,55.5,0.00283081
2000,12.3,0.1016,55.5,0.0368233
2000,0.0,0.1524,31.7,0.00209405
1250,8.4,0.0508,31.7,0.00580776
8000,0.0,0.0254,31.7,0.000439472
315,6.7,0.1016,31.7,0.00592927
5000,2.0,0.2286,31.7,0.00372371
2500,5.3,0.2286,39.6,0.00614329
5000,12.3,0.1016,31.7,0.0418756
2500,0.0,0.0254,55.5,0.00041229
1250,15.4,0.0508,71.3,0.0264269
800,12.3,0.1016,39.6,0.0408268
5000,7.2,0.1524,71.3,0.00752039
16000,4.8,0.0254,55.5,0.000873218
5000,2.0,0.2286,55.5,0.00313525
3150,9.9,0.1524,31.7,0.0252785
6300,2.0,0.2286,55.5,0.00313525
6300,0.0,0.0254,39.6,0.000428464
12500,0.0,0.1524,55.5,0.00172668
1000,5.4,0.1524,71.3,0.00401199
500,12.7,0.0254,71.3,0.0121808
315,0.0,0.3048,39.6,0.00310138
400,2.0,0.2286,55.5,0.00313525
800,22.2,0.0254,71.3,0.0214178
5000,0.0,0.3048,39.6,0.00310138
6300,12.7,0.0254,71.3,0.0121808
1000,12.3,0.1016,31.7,0.0418756
3150,0.0,0.1016,31.7,0.00150092
2500,0.0,0.1524,39.6,0.00193287
6300,0.0,0.1016,31.7,0.00150092
10000,0.0,0.0508,55.5,0.00076193
1000,4.0,0.2286,55.5,0.0042862
500,4.8,0.0254,39.6,0.000907475
1250,5.3,0.2286,71.3,0.0051942
200,15.4,0.0508,71.3,0.0264269
200,15.4,0.0508,31.7,0.0289853
315,7.3,0.2286,71.3,0.0104404
1250,4.2,0.0508,39.6,0.00152689
5000,0.0,0.1524,39.6,0.00193287
5000,4.0,0.3048,71.3,0.00497773
1000,0.0,0.1524,39.6,0.00193287
2500,0.0,0.2286,31.7,0.0027238
20000,0.0,0.2286,71.3,0.00214345
800,12.6,0.1524,39.6,0.0584113
4000,4.0,0.2286,55.5,0.0042862
6300,3.0,0.3048,39.6,0.00495741
1600,4.0,0.3048,39.6,0.00579636
12500,0.0,0.0508,71.3,0.000740478
630,5.4,0.1524,31.7,0.00525474
800,8.4,0.0508,39.6,0.00566229
2500,5.4,0.1524,39.6,0.00485029
1000,9.5,0.0254,39.6,0.00449821
800,3.3,0.1016,71.3,0.00202822
200,9.9,0.1524,71.3,0.0193001
1000,0.0,0.1524,31.7,0.00209405
5000,7.3,0.2286,39.6,0.0123481
4000,7.2,0.1524,71.3,0.00752039
500,9.9,0.1524,39.6,0.0233328
800,6.7,0.1016,39.6,0.00578076
4000,7.3,0.2286,39.6,0.0123481
2000,0.0,0.0254,31.7,0.000439472
500,5.4,0.1524,39.6,0.00485029
4000,4.0,0.3048,39.6,0.00579636
315,0.0,0.2286,31.7,0.0027238
2500,5.4,0.1524,55.5,0.00433288
500,15.6,0.1016,39.6,0.0528487
400,22.2,0.0254,71.3,0.0214178
5000,7.3,0.2286,71.3,0.0104404
2500,8.4,0.0508,71.3,0.00529514
2000,7.2,0.1524,39.6,0.00909175
630,4.0,0.2286,31.7,0.00509068
1000,0.0,0.1016,55.5,0.00131983
6300,9.9,0.1524,39.6,0.0233328
6300,7.2,0.1524,71.3,0.00752039
800,9.5,0.0254,31.7,0.00461377
500,0.0,0.1524,55.5,0.00172668
2000,0.0,0.0254,55.5,0.00041229
6300,3.0,0.3048,71.3,0.00425727
5000,0.0,0.0254,31.7,0.000439472
1600,9.5,0.0254,31.7,0.00461377
6300,9.9,0.1524,71.3,0.0193001
1600,2.7,0.1524,39.6,0.00294804
5000,0.0,0.0508,31.7,0.000812164
10000,0.0,0.1016,55.5,0.00131983
400,17.4,0.0254,71.3,0.016104
2500,11.2,0.0508,39.6,0.0150478
500,5.4,0.1524,31.7,0.00525474
1250,12.6,0.1524,39.6,0.0584113
6300,0.0,0.1524,31.7,0.00209405
500,7.3,0.2286,39.6,0.0123481
800,6.7,0.1016,71.3,0.00478288
12500,0.0,0.1016,71.3,0.00121072
315,15.4,0.0508,39.6,0.0282593
2500,17.4,0.0254,39.6,0.0172206
630,5.3,0.2286,39.6,0.00614329
800,8.4,0.0508,31.7,0.00580776
3150,9.5,0.0254,31.7,0.00461377
2000,0.0,0.0508,39.6,0.000791822
4000,0.0,0.1524,71.3,0.0015988
2500,7.2,0.1524,71.3,0.00752039
800,1.5,0.3048,39.6,0.00392107
400,9.9,0.1524,31.7,0.0252785
630,1.5,0.3048,39.6,0.00392107
1250,11.2,0.0508,71.3,0.014072
6300,22.2,0.0254,71.3,0.0214178
800,0.0,0.2286,31.7,0.0027238
1600,6.7,0.1016,55.5,0.0052139
5000,0.0,0.1016,39.6,0.00146332
500,17.4,0.0254,71.3,0.016104
2000,6.7,0.1016,39.6,0.00578076
8000,4.2,0.0508,39.6,0.00152689
1000,15.6,0.1016,39.6,0.0528487
1600,17.4,0.0254,55.5,0.0165706
1600,9.9,0.1524,71.3,0.0193001
2000,0.0,0.2286,31.7,0.0027238
5000,4.8,0.0254,39.6,0.000907475
1600,2.7,0.1524,71.3,0.00243851
1000,19.7,0.0508,39.6,0.036484
6300,5.4,0.1524,55.5,0.00433288
630,17.4,0.0254,31.7,0.0176631
1000,5.4,0.1524,39.6,0.00485029
800,0.0,0.0508,31.7,0.000812164
2500,17.4,0.0254,71.3,0.016104
500,5.4,0.1524,55.5,0.00433288
2000,0.0,0.1016,71.3,0.00121072
10000,4.0,0.3048,71.3,0.00497773
800,6.7,0.1016,55.5,0.0052139
250,7.3,0.2286,39.6,0.0123481
1000,4.8,0.0254,31.7,0.000930789
630,12.3,0.1016,39.6,0.0408268
3150,9.5,0.0254,39.6,0.00449821
630,0.0,0.2286,39.6,0.00253511
5000,3.3,0.1016,39.6,0.00245138
1000,7.2,0.1524,39.6,0.00909175
800,1.5,0.3048,71.3,0.00336729
4000,22.2,0.0254,39.6,0.0229028
800,11.2,0.0508,71.3,0.014072
315,19.7,0.0508,39.6,0.036484
400,8.9,0.1016,71.3,0.0103088
200,8.9,0.1016,39.6,0.0124596
1000,0.0,0.2286,55.5,0.00229336
1600,4.2,0.0508,39.6,0.00152689
2500,19.7,0.0508,71.3,0.0341183
6300,1.5,0.3048,39.6,0.00392107
5000,5.3,0.2286,71.3,0.0051942
1600,3.0,0.3048,39.6,0.00495741
2500,3.0,0.3048,31.7,0.00529514
1000,8.4,0.0508,71.3,0.00529514
1250,0.0,0.1524,55.5,0.00172668
200,11.2,0.0508,71.3,0.014072
20000,0.0,0.0254,55.5,0.00041229
800,8.4,0.0508,55.5,0.00544854
10000,4.2,0.0508,39.6,0.00152689
1600,0.0,0.2286,71.3,0.00214345
1250,4.8,0.0254,31.7,0.000930789
3150,7.3,0.2286,55.5,0.0111706
630,19.7,0.0508,71.3,0.0341183
1250,9.9,0.1524,31.7,0.0252785
2500,4.0,0.2286,31.7,0.00509068
4000,0.0,0.0508,39.6,0.000791822
1000,11.2,0.0508,39.6,0.0150478
1000,0.0,0.1524,71.3,0.0015988
400,12.7,0.0254,71.3,0.0121808
500,7.3,0.2286,71.3,0.0104404
2500,3.0,0.3048,39.6,0.00495741
400,9.9,0.1524,55.5,0.0208438
630,12.6,0.1524,71.3,0.0483159
1250,2.0,0.2286,55.5,0.00313525
1600,0.0,0.1524,71.3,0.0015988
1250,22.2,0.0254,71.3,0.0214178
6300,0.0,0.0508,39.6,0.000791822
400,6.7,0.1016,39.6,0.00578076
3150,0.0,0.0508,31.7,0.000812164
315,8.9,0.1016,71.3,0.0103088
3150,3.3,0.1016,71.3,0.00202822
1250,9.9,0.1524,71.3,0.0193001
6300,7.2,0.1524,39.6,0.00909175
1600,9.9,0.1524,55.5,0.0208438
3150,4.2,0.0508,39.6,0.00152689
1600,0.0,0.0254,39.6,0.000428464
6300,0.0,0.0508,71.3,0.000740478
8000,0.0,0.0254,55.5,0.00041229
5000,0.0,0.3048,55.5,0.00283081
8000,4.8,0.0254,39.6,0.000907475
2500,2.0,0.2286,55.5,0.00313525
1600,17.4,0.0254,71.3,0.016104
6300,5.3,0.2286,71.3,0.0051942
315,4.0,0.3048,39.6,0.00579636
3150,0.0,0.1524,31.7,0.00209405
1250,3.3,0.1016,31.7,0.00251435
630,3.0,0.3048,71.3,0.00425727
1600,2.0,0.2286,71.3,0.00293031
630,0.0,0.1016,55.5,0.00131983
800,2.0,0.2286,39.6,0.00346574
8000,4.8,0.0254,31.7,0.000930789
800,4.0,0.2286,55.5,0.0042862
6300,0.0,0.2286,55.5,0.00229336
16000,0.0,0.0254,39.6,0.000428464
400,22.2,0.0254,39.6,0.0229028
5000,17.4,0.0254,31.7,0.0176631
5000,15.4,0.0508,55.5,0.0271925
315,17.4,0.0254,71.3,0.016104
315,4.0,0.2286,39.6,0.00473801
2500,1.5,0.3048,39.6,0.00392107
200,15.4,0.0508,39.6,0.0282593
1000,9.5,0.0254,55.5,0.0043284
3150,3.0,0.3048,39.6,0.00495741
250,7.2,0.1524,39.6,0.00909175
400,15.4,0.0508,39.6,0.0282593
4000,12.3,0.1016,31.7,0.0418756
16000,0.0,0.0254,55.5,0.00041229
400,4.0,0.2286,55.5,0.0042862
3150,9.9,0.1524,55.5,0.0208438
1600,1.5,0.3048,71.3,0.00336729
200,15.4,0.0508,55.5,0.0271925
1600,0.0,0.3048,55.5,0.00283081
315,9.9,0.1524,39.6,0.0233328
1000,17.4,0.0254,31.7,0.0176631
5000,3.0,0.3048,39.6,0.00495741
4000,4.8,0.0254,71.3,0.000848633
2000,5.4,0.1524,55.5,0.00433288
3150,2.7,0.1524,71.3,0.00243851
400,5.3,0.2286,71.3,0.0051942
1600,3.3,0.1016,39.6,0.00245138
5000,0.0,0.0508,55.5,0.00076193
800,17.4,0.0254,31.7,0.0176631
4000,0.0,0.3048,31.7,0.00331266
5000,2.7,0.1524,39.6,0.00294804
800,3.3,0.1016,55.5,0.002211
630,3.0,0.3048,55.5,0.00452492
6300,12.7,0.0254,39.6,0.0130253
800,5.4,0.1524,39.6,0.00485029
1600,19.7,0.0508,39.6,0.036484
8000,0.0,0.1524,39.6,0.00193287
8000,0.0,0.3048,71.3,0.00266337
1250,4.0,0.2286,39.6,0.00473801
630,17.4,0.0254,71.3,0.016104
5000,4.0,0.2286,31.7,0.00509068
2500,3.3,0.1016,71.3,0.00202822
1600,4.0,0.2286,39.6,0.00473801
1000,4.0,0.3048,71.3,0.00497773
200,15.6,0.1016,71.3,0.0437259
5000,17.4,0.0254,55.5,0.0165706
8000,4.0,0.2286,71.3,0.00400603
500,7.3,0.2286,55.5,0.0111706
630,6.7,0.1016,39.6,0.00578076
1250,9.5,0.0254,71.3,0.00420654
800,9.9,0.1524,71.3,0.0193001
200,12.6,0.1524,71.3,0.0483159
400,3.0,0.3048,39.6,0.00495741
315,22.2,0.0254,71.3,0.0214178
400,1.5,0.3048,39.6,0.00392107
3150,2.7,0.1524,39.6,0.00294804
5000,8.9,0.1016,71.3,0.0103088
8000,4.2,0.0508,71.3,0.00142788
1600,12.6,0.1524,71.3,0.0483159
1600,2.0,0.2286,55.5,0.00313525
20000,4.0,0.2286,71.3,0.00400603
1000,2.0,0.2286,71.3,0.00293031
3150,7.3,0.2286,71.3,0.0104404
1250,0.0,0.3048,39.6,0.00310138
4000,4.8,0.0254,31.7,0.000930789
4000,8.4,0.0508,31.7,0.00580776
2000,17.4,0.0254,55.5,0.0165706
800,5.4,0.1524,31.7,0.00525474
12500,0.0,0.3048,55.5,0.00283081
4000,0.0,0.0254,55.5,0.00041229
1250,4.0,0.2286,31.7,0.00509068
4000,8.4,0.0508,71.3,0.00529514
500,7.2,0.1524,71.3,0.00752039
2500,7.2,0.1524,39.6,0.00909175
1600,5.4,0.1524,71.3,0.00401199
8000,0.0,0.1524,71.3,0.0015988
1250,5.4,0.1524,31.7,0.00525474
630,9.5,0.0254,31.7,0.00461377
10000,0.0,0.0254,71.3,0.000400682
5000,22.2,0.0254,39.6,0.0229028
250,0.0,0.3048,31.7,0.00331266
2500,9.9,0.1524,55.5,0.0208438
250,9.9,0.1524,31.7,0.0252785
1000,9.9,0.1524,31.7,0.0252785
2000,12.7,0.0254,39.6,0.0130253
10000,0.0,0.0508,31.7,0.000812164
800,0.0,0.3048,71.3,0.00266337
1600,5.3,0.2286,71.3,0.0051942
3150,0.0,0.3048,71.3,0.00266337
2500,8.4,0.0508,55.5,0.00544854
1600,12.3,0.1016,31.7,0.0418756
5000,12.3,0.1016,71.3,0.0337792
400,9.9,0.1524,71.3,0.0193001
500,9.5,0.0254,55.5,0.0043284
630,6.7,0.1016,55.5,0.0052139
6300,0.0,0.2286,71.3,0.00214345
250,19.7,0.0508,39.6,0.036484
1000,3.3,0.1016,71.3,0.00202822
800,0.0,0.3048,55.5,0.00283081
3150,5.4,0.1524,71.3,0.00401199
4000,9.5,0.0254,39.6,0.00449821
2000,4.8,0.0254,71.3,0.000848633
8000,4.0,0.2286,55.5,0.0042862
4000,5.4,0.1524,55.5,0.00433288
2000,4.2,0.0508,39.6,0.00152689
630,17.4,0.0254,39.6,0.0172206
400,19.7,0.0508,39.6,0.036484
1000,12.3,0.1016,71.3,0.0337792
630,9.9,0.1524,71.3,0.0193001
1250,8.4,0.0508,39.6,0.00566229
10000,3.3,0.1016,39.6,0.00245138
1600,6.7,0.1016,71.3,0.00478288
8000,5.3,0.2286,71.3,0.0051942
1000,19.7,0.0508,71.3,0.0341183
12500,0.0,0.0508,31.7,0.000812164
4000,5.4,0.1524,31.7,0.00525474
315,11.2,0.0508,39.6,0.0150478
5000,1.5,0.3048,71.3,0.00336729
250,12.6,0.1524,39.6,0.0584113
6300,9.9,0.1524,31.7,0.0252785
8000,7.2,0.1524,71.3,0.00752039
500,3.0,0.3048,39.6,0.00495741
8000,3.3,0.1016,39.6,0.00245138
6300,0.0,0.1524,55.5,0.00172668
1600,12.6,0.1524,39.6,0.0584113
630,9.9,0.1524,55.5,0.0208438
3150,9.5,0.0254,71.3,0.00420654
500,22.2,0.0254,71.3,0.0214178
400,5.4,0.1524,55.5,0.00433288
2000,15.4,0.0508,71.3,0.0264269
8000,0.0,0.0254,71.3,0.000400682
10000,0.0,0.1524,39.6,0.00193287
800,4.8,0.0254,31.7,0.000930789
400,7.3,0.2286,71.3,0.0104404
400,15.6,0.1016,39.6,0.0528487
2500,12.3,0.1016,39.6,0.0408268
800,17.4,0.0254,55.5,0.0165706
630,4.0,0.3048,39.6,0.00579636
8000,1.5,0.3048,39.6,0.00392107
3150,4.0,0.3048,39.6,0.00579636
250,15.4,0.0508,71.3,0.0264269
500,2.0,0.2286,39.6,0.00346574
1600,8.9,0.1016,71.3,0.0103088
8000,3.0,0.3048,39.6,0.00495741
3150,0.0,0.3048,31.7,0.00331266
630,8.4,0.0508,31.7,0.00580776
200,12.3,0.1016,55.5,0.0368233
6300,3.3,0.1016,39.6,0.00245138
500,0.0,0.3048,31.7,0.00331266
1000,4.2,0.0508,39.6,0.00152689
1250,8.9,0.1016,71.3,0.0103088
1250,0.0,0.0254,31.7,0.000439472
2500,19.7,0.0508,39.6,0.036484
400,4.0,0.2286,39.6,0.00473801
1250,7.2,0.1524,39.6,0.00909175
6300,3.0,0.3048,31.7,0.00529514
2500,11.2,0.0508,71.3,0.014072
1600,7.2,0.1524,71.3,0.00752039
2500,5.4,0.1524,31.7,0.00525474
16000,1.5,0.3048,71.3,0.00336729
2500,0.0,0.0254,71.3,0.000400682
1600,9.5,0.0254,71.3,0.00420654
500,15.4,0.0508,55.5,0.0271925
12500,4.8,0.0254,55.5,0.000873218
2000,0.0,0.0254,39.6,0.000428464
630,6.7,0.1016,31.7,0.00592927
5000,1.5,0.3048,39.6,0.00392107
1000,0.0,0.3048,39.6,0.00310138
800,0.0,0.1016,39.6,0.00146332
1250,0.0,0.2286,31.7,0.0027238
4000,0.0,0.1524,31.7,0.00209405
315,3.0,0.3048,31.7,0.00529514
315,5.4,0.1524,39.6,0.00485029
2000,4.0,0.3048,71.3,0.00497773
200,9.9,0.1524,31.7,0.0252785
3150,6.7,0.1016,71.3,0.00478288
4000,7.2,0.1524,39.6,0.00909175
3150,15.4,0.0508,31.7,0.0289853
400,12.3,0.1016,71.3,0.0337792
1250,4.0,0.2286,71.3,0.00400603
2500,4.0,0.2286,71.3,0.00400603
2000,15.4,0.0508,31.7,0.0289853
6300,15.6,0.1016,39.6,0.0528487
1000,0.0,0.3048,71.3,0.00266337
2000,7.3,0.2286,39.6,0.0123481
2500,3.3,0.1016,55.5,0.002211
4000,5.3,0.2286,71.3,0.0051942
1600,4.8,0.0254,55.5,0.000873218
4000,8.4,0.0508,39.6,0.00566229
500,3.0,0.3048,71.3,0.00425727
200,0.0,0.3048,39.6,0.00310138
2000,9.5,0.0254,55.5,0.0043284
2500,4.8,0.0254,55.5,0.000873218
5000,5.3,0.2286,39.6,0.00614329
800,5.3,0.2286,39.6,0.00614329
8000,0.0,0.3048,39.6,0.00310138
6300,9.9,0.1524,55.5,0.0208438
2000,4.0,0.2286,39.6,0.00473801
1250,0.0,0.1016,71.3,0.00121072
400,5.3,0.2286,39.6,0.00614329
2500,6.7,0.1016,55.5,0.0052139
315,22.2,0.0254,39.6,0.0229028
315,12.6,0.1524,39.6,0.0584113
800,5.3,0.2286,71.3,0.0051942
6300,4.0,0.2286,31.7,0.00509068
3150,4.0,0.2286,71.3,0.00400603
2500,0.0,0.0508,39.6,0.000791822
2000,0.0,0.1524,39.6,0.00193287
1600,12.7,0.0254,39.6,0.0130253
1250,12.7,0.0254,39.6,0.0130253
2000,3.0,0.3048,31.7,0.00529514
3150,5.4,0.1524,55.5,0.00433288
2500,3.3,0.1016,39.6,0.00245138
800,0.0,0.0508,55.5,0.00076193
3150,8.4,0.0508,71.3,0.00529514
200,17.4,0.0254,39.6,0.0172206
1600,17.4,0.0254,39.6,0.0172206
2500,12.3,0.1016,31.7,0.0418756
250,12.7,0.0254,71.3,0.0121808
1000,3.0,0.3048,71.3,0.00425727
10000,0.0,0.1524,55.5,0.00172668
1000,5.3,0.2286,71.3,0.0051942
3150,4.8,0.0254,39.6,0.000907475
800,7.3,0.2286,71.3,0.0104404
1000,3.3,0.1016,39.6,0.00245138
1250,9.5,0.0254,31.7,0.00461377
6300,2.7,0.1524,71.3,0.00243851
630,15.4,0.0508,55.5,0.0271925
1000,2.0,0.2286,31.7,0.00372371
5000,4.0,0.2286,55.5,0.0042862
2000,8.9,0.1016,71.3,0.0103088
400,11.2,0.0508,39.6,0.0150478
800,7.3,0.2286,39.6,0.0123481
3150,19.7,0.0508,71.3,0.0341183
250,5.3,0.2286,39.6,0.00614329
3150,12.6,0.1524,71.3,0.0483159
3150,11.2,0.0508,39.6,0.0150478
5000,0.0,0.0254,55.5,0.00041229
4000,12.7,0.0254,71.3,0.0121808
1600,5.4,0.1524,39.6,0.00485029
2000,3.0,0.3048,55.5,0.00452492
4000,2.0,0.2286,55.5,0.00313525
1000,0.0,0.3048,31.7,0.00331266
400,4.0,0.3048,39.6,0.00579636
2000,5.4,0.1524,31.7,0.00525474
800,3.0,0.3048,55.5,0.00452492
250,12.6,0.1524,71.3,0.0483159
5000,12.3,0.1016,39.6,0.0408268
200,12.3,0.1016,71.3,0.0337792
2000,3.3,0.1016,39.6,0.00245138
1600,11.2,0.0508,39.6,0.0150478
315,2.0,0.2286,31.7,0.00372371
2000,5.4,0.1524,71.3,0.00401199
4000,22.2,0.0254,71.3,0.0214178
12500,2.7,0.1524,39.6,0.00294804
1250,15.4,0.0508,55.5,0.0271925
2000,6.7,0.1016,31.7,0.00592927
1250,8.4,0.0508,71.3,0.00529514
1250,15.6,0.1016,71.3,0.0437259
5000,4.2,0.0508,39.6,0.00152689
500,6.7,0.1016,55.5,0.0052139
630,17.4,0.0254,55.5,0.0165706
12500,4.2,0.0508,71.3,0.00142788
1600,3.3,0.1016,31.7,0.00251435
315,7.3,0.2286,31.7,0.0132672
1250,8.9,0.1016,39.6,0.0124596
2000,5.4,0.1524,39.6,0.00485029
4000,0.0,0.0508,55.5,0.00076193
800,0.0,0.1016,55.5,0.00131983
500,3.0,0.3048,55.5,0.00452492
1250,3.0,0.3048,31.7,0.00529514
1600,0.0,0.3048,31.7,0.00331266
6300,3.3,0.1016,71.3,0.00202822
1000,9.5,0.0254,31.7,0.00461377
400,0.0,0.2286,31.7,0.0027238
400,12.6,0.1524,71.3,0.0483159
3150,3.3,0.1016,55.5,0.002211
1000,15.4,0.0508,31.7,0.0289853
1250,17.4,0.0254,31.7,0.0176631
2000,2.7,0.1524,71.3,0.00243851
1600,0.0,0.1524,31.7,0.00209405
6300,3.0,0.3048,55.5,0.00452492
1250,6.7,0.1016,31.7,0.00592927
250,0.0,0.3048,39.6,0.00310138
4000,0.0,0.0254,31.7,0.000439472
2500,0.0,0.0254,39.6,0.000428464
6300,2.7,0.1524,39.6,0.00294804
4000,0.0,0.2286,39.6,0.00253511
500,15.4,0.0508,31.7,0.0289853
4000,9.9,0.1524,39.6,0.0233328
2000,0.0,0.1524,71.3,0.0015988
315,7.2,0.1524,39.6,0.00909175
630,7.3,0.2286,71.3,0.0104404
2500,7.3,0.2286,55.5,0.0111706
3150,0.0,0.3048,55.5,0.00283081
800,0.0,0.0508,71.3,0.000740478
2000,2.0,0.2286,71.3,0.00293031
2000,8.4,0.0508,55.5,0.00544854
315,0.0,0.2286,39.6,0.00253511
4000,4.2,0.0508,39.6,0.00152689
1250,3.3,0.1016,39.6,0.00245138
3150,12.7,0.0254,39.6,0.0130253
315,15.6,0.1016,71.3,0.0437259
800,5.4,0.1524,71.3,0.00401199
1250,7.2,0.1524,71.3,0.00752039
400,0.0,0.2286,55.5,0.00229336
1250,3.3,0.1016,71.3,0.00202822
250,9.9,0.1524,71.3,0.0193001
2500,4.0,0.2286,55.5,0.0042862
4000,3.3,0.1016,31.7,0.00251435
1000,2.0,0.2286,39.6,0.00346574
1000,22.2,0.0254,39.6,0.0229028
800,0.0,0.1016,71.3,0.00121072
1000,4.0,0.2286,31.7,0.00509068
400,11.2,0.0508,71.3,0.014072
800,8.4,0.0508,71.3,0.00529514
1600,9.5,0.0254,55.5,0.0043284
2500,5.3,0.2286,71.3,0.0051942
2000,0.0,0.3048,55.5,0.00283081
6300,4.8,0.0254,31.7,0.000930789
1250,0.0,0.0508,71.3,0.000740478
800,22.2,0.0254,39.6,0.0229028
630,0.0,0.1524,39.6,0.00193287
315,12.6,0.1524,71.3,0.0483159
630,2.0,0.2286,39.6,0.00346574
250,15.6,0.1016,71.3,0.0437259
